group,target,variant,metric,value,positive,n
E_modality_F_fusion,FI,B1_expert_only_B,pearson,0.2784291187756546,,25
E_modality_F_fusion,FI,B1_fused_B,pearson,0.33133759845859284,,25
G_mask_family,WM,direct_topk_A,n_selected_fc,8.0,,25
G_mask_family,WM,roi_incident_A,n_selected_fc,17.0,,25
G_mask_family,WM,direct_topk_B,n_selected_fc,8.0,,25
G_mask_family,WM,roi_incident_B,n_selected_fc,17.0,,25
G_mask_family,FI,direct_topk_A,n_selected_fc,5.0,,25
G_mask_family,FI,roi_incident_A,n_selected_fc,20.0,,25
G_mask_family,FI,direct_topk_B,n_selected_fc,19.0,,25
G_mask_family,FI,roi_incident_B,n_selected_fc,6.0,,25
